Congruent,Incongruent,,difference(incongruent-congruent),(xi-xbar)^2,,,,,,
12.079,19.278,,7.199,0.586436877,,,,,,
16.791,18.741,,1.95,36.17771879,,,,,,
9.564,21.214,,11.65,13.58076046,,,,,,
8.63,15.687,,7.057,0.82408571,,,,,,
14.669,22.803,,8.134,0.02863146,,,,,,
12.238,20.878,,8.64,0.455906293,,,,,,
14.692,24.572,,9.88,3.66802296,,,,,,
8.987,17.394,,8.407,0.19554821,,,,,,
9.401,20.762,,11.361,11.53423104,,,,,,
14.48,26.282,,11.802,14.72416779,,,,,,
22.328,24.524,,2.196,33.27895729,,,,,,
15.298,18.644,,3.346,21.33323646,,,,,,
15.073,17.51,,2.437,30.55648071,,,,,,
16.929,20.33,,3.401,20.82819438,,,,,,
18.2,35.255,,17.055,82.63188754,,,,,,
12.13,22.158,,10.028,4.256828627,,,,,,
18.495,25.139,,6.644,1.744490627,,,,,,
10.639,20.429,,9.79,3.33138546,,,,,,
11.344,17.425,,6.081,3.548671043,,,,,,
12.369,34.288,,21.919,194.7199302,,,,,,
12.944,23.894,,10.95,8.911468793,,,,,,
14.233,17.96,,3.727,17.95887821,,,,,,
19.71,22.058,,2.348,31.54834863,,,,,,
16.004,21.157,,5.153,7.906172377,,,,,,
,,,,,,,,,,
MEAN,MEAN,,MEAN,,Variance,23.66654087,,SD,4.86482691,
14.051125,22.01591667,,7.964791667,,,,,SD/?n,0.993028635,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descriptive statistics,,,,,,,,,,
,,,,,,,,,,
Congruent(sorted),(xi-Mean)2,,,,,Incongruent,(xi-Mean)2,,,
8.63,29.38859627,,,,,15.687,40.05518617,,,
8.987,25.64536202,,,,,17.394,21.36211367,,,
9.401,21.62366252,,,,,17.425,21.07651584,,,
9.564,20.13429077,,,,,17.51,20.30328501,,,
10.639,11.64259702,,,,,17.96,16.45046001,,,
11.344,7.328525766,,,,,18.644,11.36982201,,,
12.079,3.889277016,,,,,18.741,10.72507917,,,
12.13,3.690721266,,,,,19.278,7.496187674,,,
12.238,3.287422266,,,,,20.33,2.842315007,,,
12.369,2.829544516,,,,,20.429,2.518304507,,,
12.944,1.225725766,,,,,20.762,1.572307007,,,
14.233,0.033078516,,,,,20.878,1.29485434,,,
14.48,0.183933766,,,,,21.157,0.73773784,,,
14.669,0.381769516,,,,,21.214,0.64307034,,,
14.692,0.410720766,,,,,22.058,0.001771007,,,
15.073,1.044228516,,,,,22.158,0.020187674,,,
15.298,1.554697266,,,,,22.803,0.619500174,,,
16.004,3.813720766,,,,,23.894,3.527197007,,,
16.791,7.506915016,,,,,24.524,6.290482007,,,
16.929,8.282164516,,,,,24.572,6.533562007,,,
18.2,17.21316377,,,,,25.139,9.753649507,,,
18.495,19.74802502,,,,,26.282,18.19946701,,,
19.71,32.02286627,,,,,34.288,150.6040293,,,
22.328,68.50665977,,,,,35.255,175.2733275,,,
,,,,,,,,,,
Mean(congruent),Variance(congruent),Standard Deviation(congruent),Median,Range,,Mean(incongruent),Variance(incongruent),Standard Deviation(incongruent),Median,Range
14.051125,12.66902907,3.559357958,14.3565,13.698,,22.01591667,23.01175704,4.797057122,21.0175,19.568
